Microbiota,Disease
H. pylori,Parkinson's Disease
Lactobacillus,"Alzheimer's Disease,Anxiety,Autism,Bipolar Disorders,Depression,Major Depressive Disorder,Parkinson's Disease,Schizophrenia"
S. thermophilus,"Anxiety,Bipolar Disorders,Depression,Major Depressive Disorder,Others,Schizophrenia"
L. bulgaricus,"Anxiety,Depression,Others"
L. lactis,"Anxiety,Depression"
L. acidophilus,"Alzheimer's Disease,Anxiety,Autism,Depression,Major Depressive Disorder,Others"
L. plantarum,"Alzheimer's Disease,Anxiety,Depression,Major Depressive Disorder,Others,Stress Syndrome"
B. lactis,"Alzheimer's Disease,Anxiety,Depression,Others"
L. reuteri,"Anxiety,Autism,Depression,Others"
L. casei,"Alzheimer's Disease,Anxiety,Depression,Major Depressive Disorder,Others"
L. paracasei,"Anxiety,Depression,Others"
L. salivarius,"Anxiety,Depression,Others"
B. bifidum,"Alzheimer's Disease,Anxiety,Depression,Major Depressive Disorder,Others"
L. rhamnosus,"Anxiety,Autism,Depression,Major Depressive Disorder,Others,Schizophrenia"
B. breve,"Alzheimer's Disease,Anxiety,Depression,Others"
B. longum,"Alzheimer's Disease,Anxiety,Autism,Depression,Others"
L. gasseri,"Anxiety,Depression,Parkinson's Disease"
L. helveticus,"Anxiety,Depression,Others"
C. butyricum,"Depression,Major Depressive Disorder,Others"
Firmicutes,"Alzheimer's Disease,Major Depressive Disorder"
Bacteroidetes,"Alzheimer's Disease,Depression,Major Depressive Disorder,Schizophrenia"
Bifidobacterium,"Alzheimer's Disease,Anxiety,Attention deficit hyperactive disorder,Autism,Bipolar Disorders,Depression,Major Depressive Disorder,Parkinson's Disease"
Clostridia,"Autism,Depression,Parkinson's Disease,Schizophrenia"
Specific gut microbiota,"Alzheimer's Disease,Anxiety,Autism,Bipolar Disorders,Depression,Major Depressive Disorder,Parkinson's Disease,Post-Traumatic Stress Disorder,Schizophrenia"
Ruminococcus gnavus,"Anxiety,Attention deficit hyperactive disorder,Autism,Bipolar Disorders,Depression,Major Depressive Disorder"
Akkermansia,"Autism,Parkinson's Disease,Schizophrenia"
Parabacteroides,"Autism,Major Depressive Disorder,Schizophrenia"
Sutterella,"Autism,Schizophrenia"
Erysipelotrichaceae,"Autism,Parkinson's Disease,Schizophrenia"
Lachnospiraceae,"Alzheimer's Disease,Autism,Depression,Major Depressive Disorder,Parkinson's Disease"
Desulfovibrio,"Autism,Parkinson's Disease"
Prevotella,"Autism,Major Depressive Disorder,Parkinson's Disease,Rem sleep behavior disorder,Schizophrenia"
Veillonella,"Autism,Major Depressive Disorder,Parkinson's Disease,Schizophrenia"
B. fragilis,"Alzheimer's Disease,Autism,Others,Parkinson's Disease"
Proteobacteria,Major Depressive Disorder
Actinobacteria,"Alzheimer's Disease,Major Depressive Disorder"
Coprococcus,"Autism,Bipolar Disorders,Major Depressive Disorder,Parkinson's Disease,Schizophrenia"
Dialister,"Attention deficit hyperactive disorder,Autism,Major Depressive Disorder"
Enterobacteriaceae,"Chronic fatigue syndrome,Depression,Parkinson's Disease"
C. coccoides,Parkinson's Disease
Escherichia,"Alzheimer's Disease,Major Depressive Disorder,Parkinson's Disease,Schizophrenia"
Aquabacterium,Parkinson's Disease
Holdemania,"Chronic fatigue syndrome,Parkinson's Disease"
Sphingomonas,Parkinson's Disease
Anaerotruncus,"Parkinson's Disease,Rem sleep behavior disorder"
E. rectale,Alzheimer's Disease
L. fermentum,"Alzheimer's Disease,Others"
L. kefiranofaciens,Depression
L. brevis,Depression
B. infantis,"Depression,Others"
Alistipes,"Chronic fatigue syndrome,Depression,Major Depressive Disorder,Parkinson's Disease"
Faecalibacterium prausnitzii,"Anxiety,Autism,Bipolar Disorders,Depression,Major Depressive Disorder,Others,Parkinson's Disease"
L. pentosus,Depression
L. delbrueckii,Others
B. CECT,Others
L. curvatus,Others
Enterococcus,"Autism,Bipolar Disorders,Major Depressive Disorder,Parkinson's Disease"
Megasphaera,"Autism,Bipolar Disorders,Rem sleep behavior disorder,Schizophrenia"
Haemophilus,"Autism,Parkinson's Disease,Schizophrenia"
Roseburia,"Bipolar Disorders,Parkinson's Disease,Schizophrenia"
Flavonifractor,"Bipolar Disorders,Major Depressive Disorder,Rem sleep behavior disorder"
Oscillibacter,Bipolar Disorders
Blautia,Parkinson's Disease
Peptostreptococcaceae,Attention deficit hyperactive disorder
Lachnoclostridium,Attention deficit hyperactive disorder
Peptococcaceae,Attention deficit hyperactive disorder
Moraxellaceae,"Attention deficit hyperactive disorder,Parkinson's Disease"
Xanthomonadaceae,"Attention deficit hyperactive disorder,Parkinson's Disease"
Faecalibacterium,"Attention deficit hyperactive disorder,Parkinson's Disease"
Clostridium butyricum,Autism
Ruminococcus flavefaciens,Autism
Clostridium boltae,Autism
Hathewaya histolytica,Autism
